,Rangking,Title,Artist,Date,Source Site,agency
2707,8,처음처럼,엠씨더맥스,5-23,Melon Music,325E&C
2708,9,덤더럼(Dumhdurum),에이핑크,5-23,Melon Music,플레이엠엔터테인먼트
2709,10,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,5-23,Melon Music,버스커 버스커
2710,11,ON,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2711,12,아무노래,지코 (ZICO),5-23,Melon Music,KQ엔터테인먼트
2712,13,Happy,태연,5-23,Melon Music,SM엔터테인먼트
2713,14,화려하지 않은 고백,규현,5-23,Melon Music,SM엔터테인먼트
2714,15,Blueming,아이유,5-23,Melon Music,EDAM엔터테인먼트
2715,16,METEOR,창모,5-23,Melon Music,일리네어 레코즈
2716,17,Dance Monkey,Tones And I,5-23,Melon Music,무소속
2717,18,그대 고운 내사랑,어반자카파,5-23,Melon Music,메이크어스엔터테인먼트
2718,19,자나깨나 (Feat. 조이 of Red Velvet),Crush,5-23,Melon Music,피네이션
2719,20,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2720,21,Dolphin,오마이걸,5-23,Melon Music,WM엔터테인먼트
2721,22,그때 그 아인,김필,5-23,Melon Music,"스톤뮤직엔터테인먼트, MMO 엔터테인먼트"
2722,23,마음을 드려요,아이유,5-23,Melon Music,EDAM엔터테인먼트
2723,24,돌덩이,하현우 (국카스텐),5-23,Melon Music,인터파크 엔터테인먼트
2724,25,COUNTIN MY GUAP,창모,5-23,Melon Music,일리네어 레코즈
2725,26,우리 만남이,폴킴,5-23,Melon Music,뉴런뮤직
2726,27,Don't Start Now,Dua Lipa,5-23,Melon Music,무소속
2727,28,늦은 밤 너의 집 앞 골목길에서,노을,5-23,Melon Music,씨제스엔터테인먼트
2728,29,내 눈물 모아,휘인,5-23,Melon Music,RBW
2729,30,2002,Anne-Marie,5-23,Melon Music,무소속
2730,31,WANNABE,ITZY,5-23,Melon Music,JYP엔터테인먼트
2731,32,Psycho,레드벨벳,5-23,Melon Music,SM엔터테인먼트
2732,33,Memories,Maroon 5,5-23,Melon Music,무소속
2733,34,반만,진민호,5-23,Melon Music,무소속
2734,35,어떻게 지내 (Prod. By VAN.C),오반,5-23,Melon Music,무소속
2735,36,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽,5-23,Melon Music,마크툽컴퍼니 (대표)
2736,37,00:00 (Zero O’Clock),방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2737,38,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,5-23,Melon Music,뉴런뮤직
2738,39,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",악동뮤지션,5-23,Melon Music,YG 엔터테인먼트
2739,40,너를 사랑하고 있어,백현,5-23,Melon Music,SM엔터테인먼트
2740,41,Black Swan,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2741,42,Maniac,Conan Gray,5-23,Melon Music,무소속
2742,43,이제 나만 믿어요,임영웅,5-23,Melon Music,"뉴에라프로젝트, 물고기컴퍼니"
2743,44,Stay Tonight,청하,5-23,Melon Music,MNH엔터테인먼트
2744,45,우리 왜 헤어져야 해,신예영,5-23,Melon Music,셀러빗
2745,46,안녕,폴킴,5-23,Melon Music,뉴런뮤직
2746,47,Lonely Night,권진아,5-23,Melon Music,안테나
2747,48,FIESTA,아이즈원,5-23,Melon Music,오프더레코드엔터테인먼트
2748,49,품,볼빨간사춘기,5-23,Melon Music,쇼파르뮤직
2749,50,Love poem,아이유,5-23,Melon Music,EDAM엔터테인먼트
2750,51,친구,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2751,52,HIP,마마무,5-23,Melon Music,RBW
2752,53,Stuck with U,Ariana Grande,5-23,Melon Music,무소속
2753,54,Paris In The Rain,Lauv,5-23,Melon Music,무소속
2754,55,To Die For,Sam Smith,5-23,Melon Music,무소속
2755,56,Filter,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2756,57,찐이야,영탁,5-23,Melon Music,"뉴에라프로젝트, 밀라그로"
2757,58,bad guy,Billie Eilish,5-23,Melon Music,인터스코프 레코드
2758,59,Moon,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2759,60,시차,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2760,61,너를 그린 우주 (Insomnia2020) (Feat. 이라온),마크툽,5-23,Melon Music,마크툽컴퍼니 (대표)
2761,62,너를 만나,폴킴,5-23,Melon Music,뉴런뮤직
2762,63,어느 60대 노부부이야기,임영웅,5-23,Melon Music,"뉴에라프로젝트, 물고기컴퍼니"
2763,64,"다시 난, 여기",백예린,5-23,Melon Music,블루바이닐
2764,65,Inner Child,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2765,66,봄날,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2766,67,Punch,NCT 127,5-23,Melon Music,SM엔터테인먼트
2767,68,We are Bulletproof : the Eternal,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2768,69,밤이 깊었네 (Drama Ver.),미도와 파라솔,5-23,Melon Music,무소속
2769,70,시든 꽃에 물을 주듯,박혜원,5-23,Melon Music,"비오디엔터테인먼트, 엔터테인먼트 뉴오더"
2770,71,Painkiller,Ruel,5-23,Melon Music,무소속
2771,72,"Yours (Feat. 이하이, 창모)",Raiden,5-23,Melon Music,SM엔터테인먼트
2772,73,조금 취했어 (Prod. 2soo),임재현,5-23,Melon Music,정원수엔터테인먼트
2773,74,사랑이란 멜로는 없어,전상근,5-23,Melon Music,셀러빗
2774,75,Zombie,데이식스,5-23,Melon Music,JYP엔터테인먼트
2775,76,Louder than bombs,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2776,77,Birthday,Anne-Marie,5-23,Melon Music,무소속
2777,78,영웅 (英雄; Kick It),NCT 127,5-23,Melon Music,SM엔터테인먼트
2778,79,"사랑, 하자",수호 (SUHO),5-23,Melon Music,SM엔터테인먼트
2779,80,욱 (UGH!),방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2780,81,너에게 가는 이 길 위에서 (너.이.길),백현,5-23,Melon Music,SM엔터테인먼트
2781,82,LALALILALA,에이프릴,5-23,Melon Music,DSP미디어
2782,83,넌 내가 보고 싶지 않나 봐,신예영,5-23,Melon Music,셀러빗
2783,84,Interlude : Shadow,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2784,85,바램,임영웅,5-23,Melon Music,"뉴에라프로젝트, 물고기컴퍼니"
2785,86,Square (2017),백예린,5-23,Melon Music,블루바이닐
2786,87,사랑하게 될 줄 알았어,신효범,5-23,Melon Music,무소속
2787,88,Outro : Ego,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2788,89,Respect,방탄소년단,5-23,Melon Music,빅히트 엔터테인먼트
2789,90,Go away go away,찬열 (CHANYEOL),5-23,Melon Music,SM엔터테인먼트
2790,91,"아무렇지 않게, 안녕",박혜원,5-23,Melon Music,"비오디엔터테인먼트, 엔터테인먼트 뉴오더"
2791,92,포장마차,황인욱,5-23,Melon Music,하우엔터테인먼트
2792,93,사랑에 연습이 있었다면 (Prod. 2soo),임재현,5-23,Melon Music,정원수엔터테인먼트
2793,94,다시 만날까 봐,V.O.S,5-23,Melon Music,무소속
2794,95,시청 앞 지하철 역에서,곽진언,5-23,Melon Music,뮤직팜
2795,96,주저하는 연인들을 위해,잔나비,5-23,Melon Music,페포니 뮤직
2796,97,Ridin’,NCT DREAM,5-23,Melon Music,SM엔터테인먼트
2797,98,사랑이 식었다고 말해도 돼,먼데이키즈,5-23,Melon Music,먼데이키즈 컴퍼니
2798,99,넌 언제나,제이레빗(J Rabbit),5-23,Melon Music,friendz
2799,100,깡,비,5-23,Melon Music,"레인컴퍼니, 써브라임아티스트에이전시"
2800,1,에잇(Prod.&Feat. SUGA of BTS),아이유,5-23,Naver Vibe,EDAM엔터테인먼트
2801,2,아로하,조정석,5-23,Naver Vibe,잼엔터테인먼트
2802,3,살짝 설렜어 (Nonstop),오마이걸,5-23,Naver Vibe,WM엔터테인먼트
2803,4,좋은 사람 있으면 소개시켜줘,조이,5-23,Naver Vibe,SM엔터테인먼트
2804,5,나비와 고양이 (Feat. 백현 (BAEKHYUN)),볼빨간사춘기,5-23,Naver Vibe,쇼파르뮤직
2805,6,Dolphin,오마이걸,5-23,Naver Vibe,WM엔터테인먼트
2806,7,아무노래,지코 (ZICO),5-23,Naver Vibe,KQ엔터테인먼트
2807,8,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,5-23,Naver Vibe,버스커 버스커
2808,9,화려하지 않은 고백,규현,5-23,Naver Vibe,SM엔터테인먼트
2809,10,Blueming,아이유,5-23,Naver Vibe,EDAM엔터테인먼트
2810,11,시작,가호 (Gaho),5-23,Naver Vibe,인넥스트트렌드
2811,12,덤더럼(Dumhdurum),에이핑크,5-23,Naver Vibe,플레이엠엔터테인먼트
2812,13,WANNABE,ITZY,5-23,Naver Vibe,JYP엔터테인먼트
2813,14,그대 고운 내사랑,어반자카파,5-23,Naver Vibe,메이크어스엔터테인먼트
2814,15,Lonely Night,권진아,5-23,Naver Vibe,안테나
2815,16,Happy,태연,5-23,Naver Vibe,SM엔터테인먼트
2816,17,Psycho,레드벨벳,5-23,Naver Vibe,SM엔터테인먼트
2817,18,Don't Start Now,Dua Lipa,5-23,Naver Vibe,무소속
2818,19,METEOR,창모,5-23,Naver Vibe,일리네어 레코즈
2819,20,사랑하게 될 줄 알았어,전미도,5-23,Naver Vibe,비스터스엔터테인먼트
2820,21,Memories,Maroon 5,5-23,Naver Vibe,무소속
2821,22,처음처럼,엠씨더맥스,5-23,Naver Vibe,325E&C
2822,23,내 눈물 모아,휘인,5-23,Naver Vibe,RBW
2823,24,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",악동뮤지션,5-23,Naver Vibe,YG 엔터테인먼트
2824,25,시청 앞 지하철 역에서,곽진언,5-23,Naver Vibe,뮤직팜
2825,26,돌덩이,하현우 (국카스텐),5-23,Naver Vibe,인터파크 엔터테인먼트
2826,27,Punch,NCT 127,5-23,Naver Vibe,SM엔터테인먼트
2827,28,LALALILALA,에이프릴,5-23,Naver Vibe,DSP미디어
2828,29,2002,Anne-Marie,5-23,Naver Vibe,무소속
2829,30,ON,방탄소년단,5-23,Naver Vibe,빅히트 엔터테인먼트
2830,31,FIESTA,아이즈원,5-23,Naver Vibe,오프더레코드엔터테인먼트
2831,32,늦은 밤 너의 집 앞 골목길에서,노을,5-23,Naver Vibe,씨제스엔터테인먼트
2832,33,넌 언제나,제이레빗(J Rabbit),5-23,Naver Vibe,friendz
2833,34,Love poem,아이유,5-23,Naver Vibe,EDAM엔터테인먼트
2834,35,영웅 (英雄; Kick It),NCT 127,5-23,Naver Vibe,SM엔터테인먼트
2835,36,Paris In The Rain,Lauv,5-23,Naver Vibe,무소속
2836,37,마음을 드려요,아이유,5-23,Naver Vibe,EDAM엔터테인먼트
2837,38,품,볼빨간사춘기,5-23,Naver Vibe,쇼파르뮤직
2838,39,그때 그 아인,김필,5-23,Naver Vibe,"스톤뮤직엔터테인먼트, MMO 엔터테인먼트"
2839,40,Stay Tonight,청하,5-23,Naver Vibe,MNH엔터테인먼트
2840,41,NonStop,NCT 127,5-23,Naver Vibe,SM엔터테인먼트
2841,42,HIP,마마무,5-23,Naver Vibe,RBW
2842,43,자나깨나 (Feat. 조이 of Red Velvet),Crush,5-23,Naver Vibe,피네이션
2843,44,Dance Monkey,Tones And I,5-23,Naver Vibe,무소속
2844,45,너를 만나,폴킴,5-23,Naver Vibe,뉴런뮤직
2845,46,Ridin',NCT DREAM,5-23,Naver Vibe,SM엔터테인먼트
2846,47,Stuck with U,Ariana Grande,5-23,Naver Vibe,무소속
2847,48,Square (2017),백예린,5-23,Naver Vibe,블루바이닐
2848,49,밤이 깊었네 (Drama Ver.),미도와 파라솔,5-23,Naver Vibe,무소속
2849,50,bad guy,Billie Eilish,5-23,Naver Vibe,인터스코프 레코드
2850,51,바람이 부네요,이소라,5-23,Naver Vibe,무소속
2851,52,To Die For,Sam Smith,5-23,Naver Vibe,무소속
2852,53,사계 (Four Seasons),태연,5-23,Naver Vibe,SM엔터테인먼트
2853,54,밤편지,아이유,5-23,Naver Vibe,EDAM엔터테인먼트
2854,55,너의 하루 (Make Your Day),NCT 127,5-23,Naver Vibe,SM엔터테인먼트
2855,56,Oh my god,(여자)아이들,5-23,Naver Vibe,무소속
2856,57,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,5-23,Naver Vibe,뉴런뮤직
2857,58,I'm in Trouble,뉴이스트,5-23,Naver Vibe,플레디스
2858,59,Birthday,Anne-Marie,5-23,Naver Vibe,무소속
2859,60,오늘도 빛나는 너에게 (To You My Light) (Feat. 이라온),마크툽,5-23,Naver Vibe,마크툽컴퍼니 (대표)
2860,61,시든 꽃에 물을 주듯,박혜원,5-23,Naver Vibe,"비오디엔터테인먼트, 엔터테인먼트 뉴오더"
2861,62,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,5-23,Naver Vibe,빅히트 엔터테인먼트
2862,63,사랑하게 될 줄 알았어,신효범,5-23,Naver Vibe,무소속
2863,64,사랑이란 멜로는 없어,전상근,5-23,Naver Vibe,셀러빗
2864,65,Zombie,데이식스,5-23,Naver Vibe,JYP엔터테인먼트
2865,66,주저하는 연인들을 위해,잔나비,5-23,Naver Vibe,페포니 뮤직
2866,67,찐이야,영탁,5-23,Naver Vibe,"뉴에라프로젝트, 밀라그로"
2867,68,Say So,Doja Cat,5-23,Naver Vibe,RCA
2868,69,우리 만남이,폴킴,5-23,Naver Vibe,뉴런뮤직
2869,70,어떻게 지내 (Prod. By VAN.C),오반,5-23,Naver Vibe,무소속
2870,71,Juice,Lizzo,5-23,Naver Vibe,무소속
2871,72,이제 나만 믿어요,임영웅,5-23,Naver Vibe,"뉴에라프로젝트, 물고기컴퍼니"
2872,73,안녕,폴킴,5-23,Naver Vibe,뉴런뮤직
2873,74,나의 오랜 연인에게,다비치,5-23,Naver Vibe,스톤뮤직엔터테인먼트
2874,75,Feel Special,TWICE,5-23,Naver Vibe,JYP엔터테인먼트
2875,76,서곡 (序曲; Prelude),NCT 127,5-23,Naver Vibe,SM엔터테인먼트
2876,77,Take Yourself Home,Troye Sivan,5-23,Naver Vibe,EMI Music Austrailia
2877,78,시간의 바깥,아이유,5-23,Naver Vibe,EDAM엔터테인먼트
2878,79,Señorita,Shawn Mendes,5-23,Naver Vibe,무소속
2879,80,너에게 못했던 내 마지막 말은,다비치,5-23,Naver Vibe,스톤뮤직엔터테인먼트
2880,81,비가 내리는 날에는,윤하,5-23,Naver Vibe,C9엔터테인먼트
2881,82,17,Pink Sweat$,5-23,Naver Vibe,무소속
2882,83,조금 취했어 (Prod. 2soo),임재현,5-23,Naver Vibe,정원수엔터테인먼트
2883,84,포장마차,황인욱,5-23,Naver Vibe,하우엔터테인먼트
2884,85,봄날,방탄소년단,5-23,Naver Vibe,빅히트 엔터테인먼트
2885,86,And we go,성시경,5-23,Naver Vibe,무소속
2886,87,막걸리 한잔,영탁,5-23,Naver Vibe,"뉴에라프로젝트, 밀라그로"
2887,88,니 소식,송하예,5-23,Naver Vibe,무소속
2888,89,사랑은 또다시 (Love Again),NCT DREAM,5-23,Naver Vibe,SM엔터테인먼트
2889,90,Moon Dance,뉴이스트,5-23,Naver Vibe,플레디스
2890,91,사랑했던 날들,백지영,5-23,Naver Vibe,무소속
2891,92,사랑이 식었다고 말해도 돼,먼데이키즈,5-23,Naver Vibe,먼데이키즈 컴퍼니
2892,93,I Don't Care,Ed Sheeran,5-23,Naver Vibe,무소속
2893,94,Physical (Feat. 화사),Dua Lipa,5-23,Naver Vibe,무소속
2894,95,솔직히 지친다,청하,5-23,Naver Vibe,MNH엔터테인먼트
2895,96,Love me or Leave me,데이식스,5-23,Naver Vibe,JYP엔터테인먼트
2896,97,꼭,뉴이스트,5-23,Naver Vibe,플레디스
2897,98,빈칸을 채워주시오,볼빨간사춘기,5-23,Naver Vibe,쇼파르뮤직
2898,99,"Yours (Feat. 이하이, 창모)",Raiden,5-23,Naver Vibe,SM엔터테인먼트
2899,100,Back To Me (평행우주),뉴이스트,5-23,Naver Vibe,플레디스
2900,1,Nonstop (살짝 설렜어),오마이걸,5-23,Youtube Music,WM엔터테인먼트
2901,2,eight (에잇) (feat. Agust D),아이유,5-23,Youtube Music,EDAM엔터테인먼트
2902,3,WANNABE,ITZY,5-23,Youtube Music,JYP엔터테인먼트
2903,4,아로하 (Aloha),조정석,5-23,Youtube Music,무소속
2904,5,Dolphin,오마이걸,5-23,Youtube Music,WM엔터테인먼트
2905,6,덤더럼 (Dumhdurum),에이핑크,5-23,Youtube Music,플레이엠엔터테인먼트
2906,7,Stay Tonight,청하,5-23,Youtube Music,MNH엔터테인먼트
2907,8,돌덩이,하현우,5-23,Youtube Music,인터파크 엔터테인먼트
2908,9,나비와 고양이 (Leo) (feat. 백현(BAEKHYUN)),볼빨간사춘기,5-23,Youtube Music,쇼파르뮤직
2909,10,ON,방탄소년단,5-23,Youtube Music,빅히트 엔터테인먼트
2910,11,시작,이루리,5-23,Youtube Music,매직스트로베리사운드
2911,12,LALALILALA,에이프릴,5-23,Youtube Music,DSP미디어
2912,13,깡 GANG,Rain,5-23,Youtube Music,"레인컴퍼니, 써브라임아티스트에이전시"
2913,14,Blueming(블루밍),아이유,5-23,Youtube Music,EDAM엔터테인먼트
2914,15,Any song (아무노래),지코(ZICO),5-23,Youtube Music,KQ엔터테인먼트
2915,16,DANCE MONKEY,톤스 앤 아이,5-23,Youtube Music,무소속
2916,17,Psycho,레드벨벳,5-23,Youtube Music,SM엔터테인먼트
2917,18,FIESTA,아이즈원,5-23,Youtube Music,무소속
2918,19,METEOR,창모,5-23,Youtube Music,일리네어 레코즈
2919,20,"그때 그 아인 (Someday, The Boy)",김필,5-23,Youtube Music,"스톤뮤직엔터테인먼트, MMO 엔터테인먼트"
2920,21,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,5-23,Youtube Music,버스커 버스커
2921,22,Say So,Doja Cat,5-23,Youtube Music,RCA
2922,23,Memories,Maroon 5(마룬 파이브),5-23,Youtube Music,무소속
2923,24,영웅 (英雄; Kick It),NCT 127,5-23,Youtube Music,SM엔터테인먼트
2924,25,Remember Me (불꽃놀이),오마이걸,5-23,Youtube Music,WM엔터테인먼트
2925,26,오늘도 빛나는 너에게 (To You My Light) (feat. 이라온),마크툽,5-23,Youtube Music,마크툽컴퍼니 (대표)
2926,27,Oh my god,(여자)아이들,5-23,Youtube Music,무소속
2927,28,HIP,마마무,5-23,Youtube Music,RBW
2928,29,사랑해 (Luv U),(여자)아이들,5-23,Youtube Music,무소속
2929,30,니가 왜 거기서 나와 (feat. Go Eun-ah),영탁,5-23,Youtube Music,"뉴에라프로젝트, 밀라그로"
2930,31,Stuck with U (Ariana Grande(아리아나 그란데) & Justin Bieber(저스틴 비버)),Ariana Grande,5-23,Youtube Music,무소속
2931,32,비밀정원 (Secret Garden),오마이걸,5-23,Youtube Music,WM엔터테인먼트
2932,33,Zombie,데이식스,5-23,Youtube Music,JYP엔터테인먼트
2933,34,좋은 사람 있으면 소개시켜줘,조이,5-23,Youtube Music,SM엔터테인먼트
2934,35,너를 그린 우주 (Insomnia2020) (Feat. 이라온) (feat. 이라온),마크툽,5-23,Youtube Music,마크툽컴퍼니 (대표)
2935,36,"야망 (AMBITION) (feat. ASH ISLAND, 김효은, Hash Swan & 창모(CHANGMO))",릴러말즈(Leellamarz),5-23,Youtube Music,무소속
2936,37,BUNGEE (Fall in Love),오마이걸,5-23,Youtube Music,WM엔터테인먼트
2937,38,Feel Special,TWICE,5-23,Youtube Music,JYP엔터테인먼트
2938,39,I'm in Trouble,뉴이스트(NU'EST),5-23,Youtube Music,플레디스
2939,40,폰서트,10cm(십센치),5-23,Youtube Music,매직스트로베리사운드
2940,41,Ridin',NCT DREAM,5-23,Youtube Music,SM엔터테인먼트
2941,42,Don't Start Now,Dua Lipa,5-23,Youtube Music,무소속
2942,43,Painkiller,루엘,5-23,Youtube Music,무소속
2943,44,빌런 (Villain),스텔라장,5-23,Youtube Music,그랜드라인엔터테인먼트
2944,45,ICY,ITZY,5-23,Youtube Music,JYP엔터테인먼트
2945,46,어떻게 지내 (I Need You),오반,5-23,Youtube Music,무소속
2946,47,My House,2PM,5-23,Youtube Music,JYP엔터테인먼트
2947,48,웨이백홈,숀,5-23,Youtube Music,DCTOM엔터테인먼트
2948,49,Blinding Lights,The Weeknd,5-23,Youtube Music,무소속
2949,50,Half (반만),진민호,5-23,Youtube Music,무소속
2950,51,BLOOM (처음처럼),엠씨더맥스,5-23,Youtube Music,325E&C
2951,52,염라 (Karma),Dareharu,5-23,Youtube Music,무소속
2952,53,Give You My Heart (마음을 드려요),아이유,5-23,Youtube Music,EDAM엔터테인먼트
2953,54,Spit it out (뱉어),솔라,5-23,Youtube Music,RBW
2954,55,"When I tell you goodbye (아무렇지 않게, 안녕)",박혜원,5-23,Youtube Music,"비오디엔터테인먼트, 엔터테인먼트 뉴오더"
2955,56,BAD,크리스토퍼,5-23,Youtube Music,무소속
2956,57,시청 앞 지하철 역에서 (In front of city hall at the subway station),곽진언,5-23,Youtube Music,뮤직팜
2957,58,Hug,볼빨간사춘기,5-23,Youtube Music,쇼파르뮤직
2958,59,"마음이 말하는 행복 (Happy Ending) (마크툽(MAKTUB), 이라온, VAN GWANG OK(반광옥), 정영은 & 전상근)",마크툽,5-23,Youtube Music,마크툽컴퍼니 (대표)
2959,60,바나나 알러지 원숭이,오마이걸 반하나,5-23,Youtube Music,WM엔터테인먼트
2960,61,화려하지 않은 고백 (Confession Is Not Flashy),규현,5-23,Youtube Music,SM엔터테인먼트
2961,62,GOOBA,6ix9ine,5-23,Youtube Music,무소속
2962,63,사장님 도박은 재미로 하셔야 합니다 (KAZINO),비비(BIBI),5-23,Youtube Music,필굿뮤직
2963,64,9와 4분의 3 승강장에서 너를 기다려 (Run Away),투모로우바이투게더,5-23,Youtube Music,빅히트 엔터테인먼트
2964,65,12:45 (Stripped),에담,5-23,Youtube Music,무소속
2965,66,WINDY DAY,오마이걸,5-23,Youtube Music,WM엔터테인먼트
2966,67,Maniac,Conan Gray,5-23,Youtube Music,무소속
2967,68,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지 (How can I love the heartbreak, you`re the one I love)",악동뮤지션,5-23,Youtube Music,YG 엔터테인먼트
2968,69,DUN DUN,EVERGLOW (에버글로우),5-23,Youtube Music,위에화엔터테인먼트코리아
2969,70,버릇처럼 셋을 센다,KCM,5-23,Youtube Music,얼반웍스이엔티
2970,71,YOU&I(너랑 나),아이유,5-23,Youtube Music,EDAM엔터테인먼트
2971,72,Show Yourself (Idina Menzel(이디나 멘젤) & Evan Rachel Wood),Idina Menzel,5-23,Youtube Music,무소속
2972,73,Supalonely (feat. 거스 대퍼튼),BENEE,5-23,Youtube Music,무소속
2973,74,Break My Heart,Dua Lipa,5-23,Youtube Music,무소속
2974,75,우리 만남이 (But I'll Miss You),폴킴,5-23,Youtube Music,뉴런뮤직
2975,76,바람기억(Memory Of The Wind),나얼,5-23,Youtube Music,인넥스트트렌드
2976,77,그대 고운 내사랑,어반자카파,5-23,Youtube Music,메이크어스엔터테인먼트
2977,78,Juice,리조,5-23,Youtube Music,무소속
2978,79,아로하,쿨(COOL),5-23,Youtube Music,쿨컴퍼니
2979,80,400km (Feat. Kid Milli) (feat. 키드밀리),한요한,5-23,Youtube Music,린치핀뮤직
2980,81,내 눈물 모아 (With My Tears),휘인,5-23,Youtube Music,RBW
2981,82,Sometimes (가끔),크러쉬(Crush),5-23,Youtube Music,피네이션
2982,83,Yours (레이든(Raiden) & 찬열(CHANYEOL)) (feat. 이하이 & 창모(CHANGMO)),레이든(Raiden),5-23,Youtube Music,SM엔터테인먼트
2983,84,Godzilla (feat. 주스 월드),Eminem(에미넴),5-23,Youtube Music,"D12, 배드 미츠 이블"
2984,85,Black Swan,방탄소년단,5-23,Youtube Music,빅히트 엔터테인먼트
2985,86,Physical (feat. 화사),Dua Lipa,5-23,Youtube Music,무소속
2986,87,기억을 걷는 시간,넬(NELL),5-23,Youtube Music,스페이스보헤미안
2987,88,"트로트랩 (SUPERBEE, 언에듀케이티드 키드(UNEDUCATED KID), 트웰브(twlv) & 유시온(Yuzion))",SUPERBEE,5-23,Youtube Music,영앤리치레코즈
2988,89,comethru,제레미 주커,5-23,Youtube Music,무소속
2989,90,BOSS,NCT U,5-23,Youtube Music,SM엔터테인먼트
2990,91,CLOSER,오마이걸,5-23,Youtube Music,WM엔터테인먼트
2991,92,Oh! my mistake (예쁜 게 죄),에이프릴,5-23,Youtube Music,DSP미디어
2992,93,Payphone (feat. Wiz Khalifa(위즈 칼리파)),Maroon 5(마룬 파이브),5-23,Youtube Music,무소속
2993,94,BIRTHDAY,Anne-Marie,5-23,Youtube Music,무소속
2994,95,친구 (Friends),방탄소년단,5-23,Youtube Music,빅히트 엔터테인먼트
2995,96,Knock(널 찾아가),아스트로(ASTRO),5-23,Youtube Music,"판타지오, 판타지오 뮤직"
2996,97,Cheap Thrills,Sia,5-23,Youtube Music,무소속
2997,98,Workaholic,볼빨간사춘기,5-23,Youtube Music,쇼파르뮤직
2998,99,NINETEEN,나띠(NATTY),5-23,Youtube Music,스윙엔터테인먼트
2999,100,Good As Hell,리조,5-23,Youtube Music,무소속
3000,1,대취타,Agust D,5-24,Apple Music,무소속
3001,2,이상하지 않은가 (feat. RM),Agust D,5-24,Apple Music,무소속
3002,3,저 달,Agust D,5-24,Apple Music,무소속
3003,4,어떻게 생각해?,Agust D,5-24,Apple Music,무소속
3004,5,Stuck with U,Ariana Grande & Justin Bieber,5-24,Apple Music,무소속
3005,6,사람,Agust D,5-24,Apple Music,무소속
3006,7,점점 어른이 되나봐 (feat. 니화),Agust D,5-24,Apple Music,무소속
3007,8,Burn It (feat. MAX),Agust D,5-24,Apple Music,무소속
3008,9,어땠을까 (feat. 김종완 of NELL),Agust D,5-24,Apple Music,무소속
3009,10,Rain On Me,Lady Gaga & Ariana Grande,5-24,Apple Music,무소속
3010,11,Nonstop,오마이걸,5-24,Apple Music,WM엔터테인먼트
3011,12,혼술,Agust D,5-24,Apple Music,무소속
3012,13,Interlude : Set me free,Agust D,5-24,Apple Music,무소속
3013,14,자나깨나 (feat. 조이),Crush,5-24,Apple Music,피네이션
3014,15,아로하,조정석,5-24,Apple Music,잼엔터테인먼트
3015,16,Blinding Lights,The Weeknd,5-24,Apple Music,무소속
3016,17,Be Kind,Marshmello & Halsey,5-24,Apple Music,무소속
3017,18,사랑하게 될 줄 알았어,전미도,5-24,Apple Music,비스터스엔터테인먼트
3018,19,Don't Start Now,Dua Lipa,5-24,Apple Music,무소속
3019,20,Dance Monkey,Tones And I,5-24,Apple Music,무소속
3020,21,Zombie,데이식스,5-24,Apple Music,JYP엔터테인먼트
3021,22,Punch,NCT 127,5-24,Apple Music,SM엔터테인먼트
3022,23,Intentions (feat. Quavo),Justin Bieber,5-24,Apple Music,아일랜드레코드
3023,24,WANNABE,ITZY,5-24,Apple Music,JYP엔터테인먼트
3024,25,Break My Heart,Dua Lipa,5-24,Apple Music,무소속
3025,26,ily (i love you baby) [feat. Emilee],Surf Mesa,5-24,Apple Music,무소속
3026,27,Dolphin,오마이걸,5-24,Apple Music,WM엔터테인먼트
3027,28,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,5-24,Apple Music,버스커 버스커
3028,29,난춘,새소년,5-24,Apple Music,매직스트로베리사운드
3029,30,Say So,Doja Cat,5-24,Apple Music,RCA
