,Rangking,Title,Artist,Date,Source Site,agency
74,75,밤이 깊었네 (Drama Version),미도와 파라솔,5-19,Apple Music,무소속
75,76,In Your Eyes,The Weeknd,5-19,Apple Music,무소속
76,77,내 눈물 모아,휘인,5-19,Apple Music,RBW
77,78,Shape of You,Ed Sheeran,5-19,Apple Music,무소속
78,79,Daisies,Katy Perry,5-19,Apple Music,무소속
79,80,No Judgement,Niall Horan,5-19,Apple Music,콜롬비아레코드
80,81,"모든 날, 모든 순간",폴킴,5-19,Apple Music,뉴런뮤직
81,82,Trillionaire (feat. YoungBoy Never Broke Again),Future,5-19,Apple Music,무소속
82,83,What a Man Gotta Do,Jonas Brothers,5-19,Apple Music,무소속
83,84,I Like Me Better,Lauv,5-19,Apple Music,무소속
84,85,I Feel It Coming (feat. Daft Punk),The Weeknd,5-19,Apple Music,무소속
85,86,THE SCOTTS,"THE SCOTTS, Travis Scott & Kid Cudi",5-19,Apple Music,무소속
86,87,This City,Sam Fischer,5-19,Apple Music,무소속
87,88,Boss Bitch,Doja Cat,5-19,Apple Music,RCA
88,89,Savage Remix (feat. Beyoncé),Megan Thee Stallion,5-19,Apple Music,무소속
89,90,12:45 (Stripped),Etham,5-19,Apple Music,무소속
90,91,Summer Feelings (feat. Charlie Puth),Lennon Stella,5-19,Apple Music,무소속
91,92,돌덩이,하현우,5-19,Apple Music,인터파크 엔터테인먼트
92,93,Lose You to Love Me,Selena Gomez,5-19,Apple Music,헐리우드레코드
93,94,Old Me,5 Seconds of Summer,5-19,Apple Music,무소속
94,95,그때 그 아인,김필,5-19,Apple Music,"스톤뮤직엔터테인먼트, MMO 엔터테인먼트"
95,96,X (feat. KAROL G),Jonas Brothers,5-19,Apple Music,무소속
96,97,Tick Tock,데이식스,5-19,Apple Music,JYP엔터테인먼트
97,98,Afraid,데이식스,5-19,Apple Music,JYP엔터테인먼트
98,99,Mean It,Lauv & LANY,5-19,Apple Music,무소속
99,100,i'm so tired...,Lauv & Troye Sivan,5-19,Apple Music,무소속
100,1,에잇(Prod.&Feat. SUGA of BTS),아이유,5-19,Bugs Music,EDAM엔터테인먼트
101,2,품,볼빨간사춘기,5-19,Bugs Music,쇼파르뮤직
102,3,살짝 설렜어 (Nonstop),오마이걸,5-19,Bugs Music,WM엔터테인먼트
103,4,나비와 고양이 (feat. 백현 (BAEKHYUN)),볼빨간사춘기,5-19,Bugs Music,쇼파르뮤직
104,5,밤이 깊었네 (Drama Ver.),미도와 파라솔,5-19,Bugs Music,무소속
105,6,아로하,조정석,5-19,Bugs Music,잼엔터테인먼트
106,7,Dolphin,오마이걸,5-19,Bugs Music,WM엔터테인먼트
107,8,Zombie,데이식스,5-19,Bugs Music,JYP엔터테인먼트
108,9,Happy,태연,5-19,Bugs Music,SM엔터테인먼트
109,10,I’m in Trouble,뉴이스트,5-19,Bugs Music,플레디스
110,11,LALALILALA,에이프릴,5-19,Bugs Music,DSP미디어
111,12,화려하지 않은 고백,규현,5-19,Bugs Music,SM엔터테인먼트
112,13,좋은 사람 있으면 소개시켜줘,조이,5-19,Bugs Music,SM엔터테인먼트
113,14,그대 고운 내사랑,어반자카파,5-19,Bugs Music,메이크어스엔터테인먼트
114,15,내 눈물 모아,휘인,5-19,Bugs Music,RBW
115,16,덤더럼(Dumhdurum),에이핑크,5-19,Bugs Music,플레이엠엔터테인먼트
116,17,"세계가 불타버린 밤, 우린... (Can't You See Me?)",투모로우바이투게더,5-19,Bugs Music,빅히트 엔터테인먼트
117,18,오늘의 기분,CHEEZE(치즈),5-19,Bugs Music,매직스트로베리사운드
118,19,Stay Tonight,청하,5-19,Bugs Music,MNH엔터테인먼트
119,20,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,5-19,Bugs Music,버스커 버스커
120,21,Blueming,아이유,5-19,Bugs Music,EDAM엔터테인먼트
121,22,Stuck with U,Ariana Grande,5-19,Bugs Music,무소속
122,23,WANNABE,ITZY,5-19,Bugs Music,JYP엔터테인먼트
123,24,빈칸을 채워주시오,볼빨간사춘기,5-19,Bugs Music,쇼파르뮤직
124,25,시작,가호(Gaho),5-19,Bugs Music,인넥스트트렌드
125,26,Love me or Leave me,데이식스,5-19,Bugs Music,JYP엔터테인먼트
126,27,Lonely Night,권진아,5-19,Bugs Music,안테나
127,28,시청 앞 지하철 역에서,곽진언,5-19,Bugs Music,뮤직팜
128,29,Memories,Maroon 5(마룬 파이브),5-19,Bugs Music,무소속
129,30,Psycho,레드벨벳,5-19,Bugs Music,SM엔터테인먼트
130,31,Don't Start Now,Dua Lipa,5-19,Bugs Music,무소속
131,32,Dance Monkey,Tones And I,5-19,Bugs Music,무소속
132,33,METEOR,창모,5-19,Bugs Music,일리네어 레코즈
133,34,아무노래,지코,5-19,Bugs Music,KQ엔터테인먼트
134,35,처음처럼,엠씨더맥스,5-19,Bugs Music,325E&C
135,36,Maniac,Conan Gray,5-19,Bugs Music,무소속
136,37,우리 만남이,폴킴,5-19,Bugs Music,뉴런뮤직
137,38,꼬일대로,CHEEZE(치즈),5-19,Bugs Music,매직스트로베리사운드
138,39,마음을 드려요,아이유,5-19,Bugs Music,EDAM엔터테인먼트
139,40,넌 언제나,제이레빗(J Rabbit),5-19,Bugs Music,friendz
140,41,돌덩이,하현우(국카스텐),5-19,Bugs Music,인터파크 엔터테인먼트
141,42,Oh my god,(여자)아이들,5-19,Bugs Music,무소속
142,43,어떻게 지내 (Prod. By VAN.C),오반,5-19,Bugs Music,무소속
143,44,FIESTA,아이즈원,5-19,Bugs Music,오프더레코드엔터테인먼트
144,45,2002,Anne-Marie,5-19,Bugs Music,무소속
145,46,To Die For,Sam Smith,5-19,Bugs Music,무소속
146,47,Drama,투모로우바이투게더,5-19,Bugs Music,빅히트 엔터테인먼트
147,48,Square (2017),백예린,5-19,Bugs Music,블루바이닐
148,49,Juice,Lizzo,5-19,Bugs Music,무소속
149,50,그때 그 아인,김필,5-19,Bugs Music,"스톤뮤직엔터테인먼트, MMO 엔터테인먼트"
150,51,민들레,볼빨간사춘기,5-19,Bugs Music,쇼파르뮤직
151,52,12:45 (Stripped),Etham,5-19,Bugs Music,무소속
152,53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,5-19,Bugs Music,뉴런뮤직
153,54,해와 달처럼,데이식스,5-19,Bugs Music,JYP엔터테인먼트
154,55,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",악동뮤지션,5-19,Bugs Music,YG 엔터테인먼트
155,56,바람이 부네요,이소라,5-19,Bugs Music,무소속
156,57,늦은 밤 너의 집 앞 골목길에서,노을,5-19,Bugs Music,씨제스엔터테인먼트
157,58,Birthday,Anne-Marie,5-19,Bugs Music,무소속
158,59,Love poem,아이유,5-19,Bugs Music,EDAM엔터테인먼트
159,60,Physical (feat. 화사),Dua Lipa,5-19,Bugs Music,무소속
160,61,카운슬링,볼빨간사춘기,5-19,Bugs Music,쇼파르뮤직
161,62,사랑했던 날들,백지영,5-19,Bugs Music,무소속
162,63,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽,5-19,Bugs Music,마크툽컴퍼니 (대표)
163,64,icanttellUeverything,CHEEZE(치즈),5-19,Bugs Music,매직스트로베리사운드
164,65,HIP,마마무,5-19,Bugs Music,RBW
165,66,샴푸의 요정,투모로우바이투게더,5-19,Bugs Music,빅히트 엔터테인먼트
166,67,ON,방탄소년단,5-19,Bugs Music,빅히트 엔터테인먼트
167,68,Painkiller,Ruel(루엘),5-19,Bugs Music,무소속
168,69,이제 나만 믿어요,임영웅,5-19,Bugs Music,"뉴에라프로젝트, 물고기컴퍼니"
169,70,안녕,폴킴,5-19,Bugs Music,뉴런뮤직
170,71,주저하는 연인들을 위해,잔나비,5-19,Bugs Music,페포니 뮤직
171,72,Paris In The Rain,Lauv(라우브),5-19,Bugs Music,무소속
172,73,Say So,Doja Cat,5-19,Bugs Music,RCA
173,74,너를 그린 우주 (Insomnia2020) (Feat. 이라온),마크툽,5-19,Bugs Music,마크툽컴퍼니 (대표)
174,75,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,5-19,Bugs Music,빅히트 엔터테인먼트
175,76,너를 만나,폴킴,5-19,Bugs Music,뉴런뮤직
176,77,찐이야,영탁,5-19,Bugs Music,"뉴에라프로젝트, 밀라그로"
177,78,수채화,CHEEZE(치즈),5-19,Bugs Music,매직스트로베리사운드
178,79,거울 속의 미로,투모로우바이투게더,5-19,Bugs Music,빅히트 엔터테인먼트
179,80,캐논 (Canon) (Drama Ver.),미도와 파라솔,5-19,Bugs Music,무소속
180,81,사계 (Four Seasons),태연,5-19,Bugs Music,SM엔터테인먼트
181,82,bad guy,Billie Eilish,5-19,Bugs Music,인터스코프 레코드
182,83,나의 하루는 다 너로 가득해,지코,5-19,Bugs Music,KQ엔터테인먼트
183,84,밤편지,아이유,5-19,Bugs Music,EDAM엔터테인먼트
184,85,나쁜 놈,벤,5-19,Bugs Music,메이저9
185,86,"다시 난, 여기",백예린,5-19,Bugs Music,블루바이닐
186,87,주라주라,둘째이모 김다비,5-19,Bugs Music,미디어랩시소
187,88,반만,진민호,5-19,Bugs Music,무소속
188,89,Blinding Lights,The Weeknd,5-19,Bugs Music,무소속
189,90,BUNGEE (Fall in Love),오마이걸,5-19,Bugs Music,WM엔터테인먼트
190,91,"아무렇지 않게, 안녕",박혜원,5-19,Bugs Music,"비오디엔터테인먼트, 엔터테인먼트 뉴오더"
191,92,And we go,성시경,5-19,Bugs Music,무소속
192,93,비밀정원,오마이걸,5-19,Bugs Music,WM엔터테인먼트
193,94,Tick Tock,데이식스,5-19,Bugs Music,JYP엔터테인먼트
194,95,Eternally,투모로우바이투게더,5-19,Bugs Music,빅히트 엔터테인먼트
195,96,막걸리 한잔,영탁,5-19,Bugs Music,"뉴에라프로젝트, 밀라그로"
196,97,내게 올 수 없는 너,길구봉구,5-19,Bugs Music,뮤직웍스
197,98,Señorita,Shawn Mendes,5-19,Bugs Music,무소속
198,99,니가 왜 거기서 나와 (Narr. 고은아),영탁,5-19,Bugs Music,"뉴에라프로젝트, 밀라그로"
199,100,동물원을 빠져나온 퓨마,투모로우바이투게더,5-19,Bugs Music,빅히트 엔터테인먼트
200,1,에잇 (Prod. & Feat. SUGA of BTS),아이유,5-19,Genie Music,EDAM엔터테인먼트
201,2,나비와 고양이 (Feat. 백현 (BAEKHYUN)),볼빨간사춘기,5-19,Genie Music,쇼파르뮤직
202,3,아로하,조정석,5-19,Genie Music,잼엔터테인먼트
203,4,살짝 설렜어 (Nonstop),오마이걸,5-19,Genie Music,WM엔터테인먼트
204,5,품,볼빨간사춘기,5-19,Genie Music,쇼파르뮤직
205,6,Happy,태연,5-19,Genie Music,SM엔터테인먼트
